annoc,time
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح وحدات ""صندوق الإنماء الوقفي لرعاية الأيتام"" طرحاً عاماً",1440/05/17    23/01/2019 09:06:16 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح وحدات ""صندوق مسقط المالية الخليجي لنمو الأرباح"" طرحاً عاماً",1440/05/16    22/01/2019 15:46:25 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح وحدات ""صندوق الجزيرة للمرابحة بالدولار الأمريكي"" طرحاً عاماً",1440/05/16    22/01/2019 08:58:21 
إعلان من الأمانة العامة للجان الفصل في منازعات الأوراق المالية عن صدور قرار لجنة الاستئناف بإدانة مخالف لنظام السوق المالية ولوائحه التنفيذية,1440/05/15    21/01/2019 15:31:17 
موافقة الهيئة على طلب شركة المستثمرون الخليجيون لإدارة الأصول تعديل قائمة أعمالها,1440/05/14    20/01/2019 16:14:30 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/05/14    20/01/2019 15:14:28 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لـشركة بروج للتأمين التعاوني,1440/05/11    17/01/2019 08:18:54 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح وحدات ""صندوق بيت المال الخليجي المرن للأسهم السعودية المتوافق مع الضوابط الشرعية"" طرحاً عاماً",1440/05/10    16/01/2019 16:48:55 
إعلان من الأمانة العامة للجان الفصل في منازعات الأوراق المالية عن صدور قرار لجنة الاستئناف بإدانة مخالفين لنظام السوق المالية ولوائحه التنفيذية,1440/05/10    16/01/2019 16:07:32 
تغيير اسم شركة أبوظبي الأول للإستثمار السعودية,1440/05/09    15/01/2019 15:26:17 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة بروج للتأمين التعاوني على اساس سعر 23 ريال,1440/05/09    15/01/2019 07:59:51 
موافقة الهيئة على طلب شركة دلة للخدمات الصحية زيادة رأس مالها عن طريق منح أسهم مجانية,1440/05/07    13/01/2019 16:26:32 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/05/07    13/01/2019 15:20:27 
مركز إيداع الأوراق المالية (إيداع) يعلن عن إضافة الأوراق المالية لاكتتاب حقوق الأولوية في (عناية),1440/05/04    10/01/2019 08:20:39 
إعلان إحالة اشتباه في مخالفة المادة التاسعة والأربعين من نظام السوق المالية والمادتين الثانية والثامنة من لائحة سلوكيات السوق، إلى النيابة العامة,1440/05/02    08/01/2019 15:55:57 
موافقة الهيئة على طلب شركة نماء للكيماويات زيادة رأس مالها عن طريق طرح أسهم حقوق أولوية,1440/05/02    08/01/2019 09:01:19 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/04/30    06/01/2019 15:22:00 
إعلان تذكيري بشأن تعديل وقت افتتاح التداول في سوق الصكوك والسندات ابتداءً من يوم الأحد القادم,1440/04/27    03/01/2019 15:30:33 
 تقرير أداء السوق المالية السعودية – التقرير الإحصائي السنوي2018 م,1440/04/25    01/01/2019 15:56:44 
إعلان من هيئة السوق المالية بشأن الاستمرار في تعليق تداول أسهم الشركة السعودية الهندية للتأمين التعاوني,1440/04/25    01/01/2019 15:51:09 
تعلن السوق المالية السعودية عن نشر التقرير الشهري لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/04/25    01/01/2019 15:23:49 
إعلان من هيئة السوق المالية بشأن طرح أسهم شركة المعمر لأنظمة المعلومات للاكتتاب العام,1440/04/24    31/12/2018 16:33:16 
موافقة الهيئة على طلب شركة اتحاد الخليج للتأمين التعاوني الموافقة على زيادة رأس مالها لغرض شراء كل أسهم مساهمي الشركة الأهلية للتأمين التعاوني من خلال عرض مبادلة أوراق مالية والموافقة على نشر مستند العرض المقدم لمساهمي الشركة الأهلية للتأمين التعاوني,1440/04/24    31/12/2018 16:23:51 
فرض غرامة مالية على شركة الكابلات السعودية، لمخالفتها الإجراءات والتعليمات الخاصة بالشركات المدرجة أسهمها في السوق التي بلغت خسائرها المتراكمة (20%) فأكثر من رأس مالها.,1440/04/24    31/12/2018 16:19:17 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية للشركة السعودية للأسماك,1440/04/24    31/12/2018 08:21:36 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/04/23    30/12/2018 16:04:01 
السوق المالية السعودية ( تداول ) تعلن عن صيانة المؤشرات للربع الرابع 2018 م,1440/04/23    30/12/2018 08:10:37 
السوق المالية السعودية (تداول) تعلن عن تحديث الأسهم الحرة لجميع الشركات للربع الرابع 2018 م,1440/04/23    30/12/2018 07:58:12 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم الشركة السعودية للأسماك على اساس سعر71.20  ريال,1440/04/20    27/12/2018 08:36:15 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على  الأوراق المالية لـصكوك الحكومة السعودية بالريال,1440/04/20    27/12/2018 08:18:56 
إعلان بشأن الموافقة على إدراج أدوات الدين الحكومية من فئة سبق إدراجها في السوق المالية السعودية,1440/04/19    26/12/2018 16:12:31 
شركة السوق المالية السعودية (تداول) تعلن عن تعديل وقت افتتاح التداول في سوق الصكوك والسندات ,1440/04/19    26/12/2018 15:48:25 
فرض غرامة مالية على شركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني (ميدغلف)، لمخالفتها الفقرة (أ) من المادة الثانية والستين والفقرتين (5) و (19) من المادة الثالثة والستين من قواعد طرح الأوراق المالية والالتزامات المستمرة.,1440/04/18    25/12/2018 15:57:01 
إعلان من شركة السوق المالية السعودية (تداول) بشأن رفع تعليق تداول سهم الشركة الوطنية للتسويق الزراعي,1440/04/18    25/12/2018 08:36:04 
ترخيص هيئة السوق المالية لشركة براق الخيل المالية لتقديم خدمات أعمال الأوراق المالية,1440/04/17    24/12/2018 15:43:46 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/04/16    23/12/2018 15:41:57 
إعلان عن صدور قرار مجلس هيئة السوق المالية باعتماد قواعد تسجيل مراجعي حسابات المنشآت الخاضعة لإشراف الهيئة,1440/04/13    20/12/2018 20:19:15 
إيداع تعلن تطبيق إجراءات المصدر على أسهم الشركة السعودية للعدد والأدوات,1440/04/13    20/12/2018 08:05:13 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم الشركة السعودية للعدد والأدوات على اساس سعر 70 ريال,1440/04/11    18/12/2018 08:32:53 
"""تداول"" تنضم إلى مبادرة الأمم المتحدة للأسواق المالية المستدامة",1440/04/10    17/12/2018 15:33:52 
مركز إيداع الأوراق المالية (إيداع) يعلن عن إضافة حقوق الأولوية لـشركة عناية السعودية للتأمين التعاوني,1440/04/10    17/12/2018 08:10:50 
السوق المالية السعودية (تداول) تعلن عن تاريخ بدء مرحلة الاكتتاب و فترة تداول حقوق الأولوية شركة عناية السعودية للتأمين التعاوني,1440/04/09    16/12/2018 16:50:59 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/04/09    16/12/2018 15:15:28 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة عناية السعودية للتأمين التعاوني على اساس سعر 18.10 ريال,1440/04/06    13/12/2018 08:08:20 
فرض غرامة مالية على الشركة العربية للأنابيب، لمخالفتها الفقرة (أ) من المادة الحادية والستين من قواعد طرح الأوراق المالية والالتزامات المستمرة والفقرة الفرعية (5) من الفقرة (أ) من التعليمات العامة من التعليمات الخاصة بإعلانات الشركات,1440/04/04    11/12/2018 16:49:45 
فرض غرامة مالية على شركة الكابلات السعودية، لمخالفتها الفقرة (أ) من المادة الحادية والستين من قواعد طرح الأوراق المالية والالتزامات المستمرة والفقرة الفرعية (5) من الفقرة (أ) من التعليمات العامة من التعليمات الخاصة بإعلانات الشركات,1440/04/04    11/12/2018 16:31:37 
فرض غرامة مالية على شركة أميانتيت العربية السعودية، لمخالفتها الفقرة (أ) من المادة الحادية والستين من قواعد طرح الأوراق المالية والالتزامات المستمرة والفقرة الفرعية (5) من الفقرة (أ) من التعليمات العامة من التعليمات الخاصة بإعلانات الشركات,1440/04/04    11/12/2018 16:05:04 
فرض غرامة مالية على الشركة العالمية للتأمين التعاوني، لمخالفتها الفقرة (أ) من المادة الحادية والستين من قواعد طرح الأوراق المالية والالتزامات المستمرة والفقرة الفرعية (5) من الفقرة (أ) من التعليمات العامة من التعليمات الخاصة بإعلانات الشركات,1440/04/04    11/12/2018 15:55:18 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/04/02    09/12/2018 15:35:51 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح وحدات ""صندوق الراجحي إم إس سي أي لمؤشر الأسهم السعودية متعدد العوامل"" طرحاً عاماً",1440/03/26    04/12/2018 15:31:02 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/03/24    02/12/2018 16:05:45 
تعلن السوق المالية السعودية عن نشر التقرير الشهري لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/03/24    02/12/2018 16:04:32 
تعديل قائمة أعمال شركة لازارد العربية السعودية ,1440/03/24    02/12/2018 15:46:27 
تقرير أداء السوق المالية السعودية – نوفمبر 2018 م ,1440/03/24    02/12/2018 15:14:01 
    فرض غرامة مالية على شركة الكابلات السعودية، لمخالفتها الفقرة (أ) من المادة الثامنة والأربعين والفقرة (أ) من المادة التاسعة والأربعين من الضوابط والإجراءات التنظيمية الصادرة تنفيذاً لنظام الشركات الخاصة بشركات المساهمة المدرجة,1440/03/20    28/11/2018 15:28:48 
ترخيص هيئة السوق المالية لشركة تأثير المالية لتقديم خدمات أعمال الأوراق المالية,1440/03/19    27/11/2018 16:11:00 
تغيير اسم شركة منار التقنية المالية,1440/03/19    27/11/2018 16:08:18 
إيداع تعلن تطبيق إجراءات المصدر على أسهم لشركة بوبا العربية للتأمين التعاوني,1440/03/19    27/11/2018 08:34:29 
إعلان من شركة السوق المالية السعودية (تداول) بشأن رفع تعليق تداول سهم شركة أبناء عبدالله عبدالمحسن الخضري,1440/03/18    26/11/2018 09:23:25 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/03/17    25/11/2018 15:45:11 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة بوبا العربية للتأمين التعاوني على اساس سعر  69.9 ريال,1440/03/17    25/11/2018 08:44:09 
إيداع تعلن تطبيق الزيادة في القيمة الاجمالية لإصدارات صكوك الحكومة السعودية بالريال,1440/03/14    22/11/2018 08:28:50 
إعلان من هيئة السوق المالية عن اعتماد تعديل تعليمات الحسابات الاستثمارية,1440/03/13    21/11/2018 17:02:14 
إعلان بشأن الموافقة على إدراج أدوات الدين الحكومية من فئة سبق إدراجها في السوق المالية السعودية,1440/03/13    21/11/2018 16:07:20 
إعلان من هيئة السوق المالية بشأن مخالفات لنظام السوق المالية ولوائحه التنفيذية,1440/03/12    20/11/2018 15:48:23 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/03/10    18/11/2018 15:14:15 
"إعلان من السوق المالية السعودية (تداول) بشأن إدراج "" الشركة الوطنية للتربية والتعليم """,1440/03/06    14/11/2018 16:45:25 
تغيير اسم شركة لازارد العربية السعودية المحدودة,1440/03/06    14/11/2018 15:32:33 
ترخيص هيئة السوق المالية لشركة شركاء القيمة المالية لتقديم خدمات أعمال الأوراق المالية,1440/03/06    14/11/2018 15:23:07 
إيداع تعلن إضافة الأوراق المالية لاكتتاب حقوق الأولوية للشركة السعودية للصادرات الصناعية,1440/03/06    14/11/2018 08:28:31 
إيداع تعلن إضافة أسهم الإكتتاب في الشركة الوطنية للتربية والتعليم,1440/03/06    14/11/2018 08:18:30 
السوق المالية السعودية (تداول) تنشر مسودات لائحة صناعة السوق لاستطلاع ‏آراء العموم وملاحظاتهم,1440/03/05    13/11/2018 15:41:21 
انضمام شركة جي آي بي كابيتال لمؤسسات الوساطة العاملة في السوق,1440/03/05    13/11/2018 15:35:26 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعليق تداول سهم الشركة الوطنية للتسويق الزراعي,1440/03/04    12/11/2018 08:34:40 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعليق تداول سهم الشركة السعودية الهندية للتأمين التعاوني,1440/03/04    12/11/2018 08:29:22 
"إعلان من السوق المالية السعودية (تداول) بشأن إدراج "" صندوق ميفك ريت "" من شركة الشرق الأوسط للاستثمار المالي",1440/03/03    11/11/2018 15:53:54 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/03/03    11/11/2018 15:12:53 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعليق تداول سهم الشركة الخليجية العامة للتأمين التعاوني بناءً على طلب الشركة ,1440/02/30    08/11/2018 11:31:09 
موافقة الهيئة على طلب الشركة السعودية للأسماك تخفيض رأس مالها,1440/02/29    07/11/2018 16:05:15 
الأحكام و الشروط الخاصة بصندوق الخبير ريت,1440/02/29    07/11/2018 15:11:03 
إيداع تعلن تطبيق إجراءات المصدر على أسهم شركة الشرق الأوسط للكابلات المتخصصة,1440/02/29    07/11/2018 08:09:53 
إيداع تعلن إضافة وحدات صندوق ميفك ريت ,1440/02/29    07/11/2018 08:00:47 
موافقة الهيئة على طلب شركة أمانة للتأمين التعاوني زيادة رأس مالها عن طريق طرح أسهم حقوق أولوية,1440/02/28    06/11/2018 15:48:10 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة الشرق الأوسط للكابلات المتخصصة على اساس سعر  12.76 ريال,1440/02/27    05/11/2018 08:18:38 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/02/26    04/11/2018 15:56:24 
موافقة الهيئة على طلب الشركة السعودية للعدد والأدوات زيادة رأس مالها عن طريق منح أسهم مجانية,1440/02/23    01/11/2018 15:54:16 
موافقة الهيئة على طلب شركة عناية السعودية للتأمين التعاوني زيادة رأس مالها عن طريق طرح أسهم حقوق أولوية,1440/02/23    01/11/2018 15:50:34 
تعلن السوق المالية السعودية عن نشر التقرير الشهري لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/02/23    01/11/2018 15:32:10 
تقرير أداء السوق المالية السعودية – أكتوبر 2018 م ,1440/02/23    01/11/2018 09:46:50 
إيداع تعلن تطبيق إجراءات المصدر على أسهم شركة جرير للتسويق,1440/02/22    31/10/2018 08:07:37 
ترخيص هيئة السوق المالية لشركة منار التقنية المالية لتقديم خدمات أعمال الأوراق المالية,1440/02/21    30/10/2018 15:13:27 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة جرير للتسويق على اساس سعر 141.20 ريال,1440/02/20    29/10/2018 08:02:52 
إعلان عن صدور قرار مجلس هيئة السوق المالية باعتماد التعليمات الخاصة بصناديق الاستثمار العقارية المتداولة المعدلة,1440/02/19    28/10/2018 18:19:48 
إعلان عن صدور قرار مجلس هيئة السوق المالية باعتماد التعليمات الخاصة بصناديق الاستثمار المغلقة المتداولة,1440/02/19    28/10/2018 18:12:37 
اعتماد قواعد الإدراج المعدلة وقائمة المصطلحات المستخدمة في قواعد السوق المعدلة,1440/02/19    28/10/2018 17:55:39 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/02/19    28/10/2018 15:06:20 
إعلان بشأن إدراج وتداول أدوات الدين الحكومية في السوق المالية السعودية,1440/02/15    24/10/2018 15:58:22 
تعليق الترخيص الممنوح لشركة مكين كابيتال,1440/02/14    23/10/2018 15:31:04 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/02/12    21/10/2018 15:25:49 
إيداع تعلن إضافة الأوراق المالية لاكتتاب حقوق الأولوية في شركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني,1440/02/12    21/10/2018 07:57:14 
نشرة إصدار الشركة الوطنية للتربية والتعليم ,1440/02/09    18/10/2018 16:37:09 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح صندوق الاستثمار العقاري المتداول ""صندوق الخبير ريت"" طرحاً عاماً",1440/02/07    16/10/2018 15:27:36 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح وحدات ""صندوق البلاد للمرابحة بالدولار الأمريكي"" طرحاً عاماً",1440/02/06    15/10/2018 09:00:19 
السوق المالية السعودية (تداول) تعلن عن تاريخ بدء مرحلة الاكتتاب و فترة تداول حقوق الأولوية للشركة السعودية للصادرات الصناعية,1440/02/05    14/10/2018 15:39:33 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/02/05    14/10/2018 15:34:45 
إيداع تعلن إضافة حقوق الأولوية للشركة السعودية للصادرات الصناعية ,1440/02/05    14/10/2018 09:29:06 
فرض غرامة مالية على شركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني (ميدغلف)، لمخالفتها عدد من أحكام قواعد التسجيل والإدراج ولائحة حوكمة الشركات.,1440/02/02    11/10/2018 15:34:51 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم الشركة السعودية للصادرات الصناعية على اساس سعر 47.45 ريال,1440/02/01    10/10/2018 08:20:30 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعليق تداول سهم شركة إتحاد إتصالات بناءً على طلب الشركة ,1440/01/28    08/10/2018 13:16:25 
هيئة السوق المالية تفتح باب التقدم للحصول على تصريح تجربة التقنية المالية للدفعة الثانية,1440/01/27    07/10/2018 16:13:52 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/01/27    07/10/2018 15:10:48 
تداول تعلن عن نشر تقرير ملكية الشركات المدرجة لأسهمها ,1440/01/24    04/10/2018 17:15:07 
إعلان من شركة السوق المالية السعودية (تداول) بشأن رفع تعليق تداول سهم البنك الأول,1440/01/24    04/10/2018 09:29:25 
إعلان من شركة السوق المالية السعودية (تداول) بشأن رفع تعليق تداول سهم البنك السعودي البريطاني,1440/01/24    04/10/2018 09:20:50 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعليق تداول سهم البنك الأول بناءً على طلب البنك,1440/01/23    03/10/2018 13:33:30 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعليق تداول سهم البنك السعودي البريطاني بناءً على طلب البنك,1440/01/23    03/10/2018 13:18:58 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعديل آلية الإفصاح الخاصة بالملاك الرئيسيين في الشركات المدرجة,1440/01/22    02/10/2018 17:00:03 
إعلان من شركة السوق المالية السعودية (تداول) بشأن رفع تعليق تداول سهم الشركة الوطنية للبناء والتسويق ,1440/01/22    02/10/2018 08:53:48 
إيداع تعلن تطبيق الزيادة في القيمة الاجمالية لإصدارات صكوك الحكومة السعودية بالريال,1440/01/22    02/10/2018 08:43:13 
إيداع تعلن إضافة وحدات صندوق تعليم ريت,1440/01/22    02/10/2018 08:28:05 
تعلن السوق المالية السعودية عن نشر التقرير الشهري لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/01/21    01/10/2018 16:26:29 
إعلان بشأن الموافقة على إدراج أدوات الدين الحكومية من فئة سبق إدراجها في السوق المالية السعودية,1440/01/21    01/10/2018 16:00:37 
 تقرير أداء السوق المالية السعودية – التسعة أشهر الأولى 2018 م,1440/01/21    01/10/2018 09:36:46 
إعلان من هيئة السوق المالية بشأن صدور قرار من لجنة الاستئناف في منازعات الأوراق المالية بإدانة مخالف لنظام السوق المالية ولوائحه التنفيذية,1440/01/20    30/09/2018 16:50:48 
إعلان من هيئة السوق المالية بشأن صدور قرار من لجنة الاستئناف في منازعات الأوراق المالية بإدانة مخالف لنظام السوق المالية ولوائحه التنفيذية,1440/01/20    30/09/2018 16:37:46 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/01/20    30/09/2018 15:10:58 
 السوق المالية السعودية ( تداول ) تعلن عن صيانة المؤشرات للربع الثالث 2018 م,1440/01/20    30/09/2018 08:13:36 
 السوق المالية السعودية (تداول) تعلن عن تحديث الأسهم الحرة (المتاحة للتداول) لجميع الشركات للربع الثالث 2018 م,1440/01/20    30/09/2018 08:04:44 
"شركة السوق المالية السعودية (تداول) تعلن عن تعديل مسمى قطاع ""الإعلام"" إلى قطاع ""الإعلام والترفيه"" تماشياً مع تحديثات معيار التصنيف العالمي للقطاعات (GICS)",1440/01/17    27/09/2018 15:47:01 
إعلان من هيئة السوق المالية بشأن الموافقة على طرح أسهم شركة سعود حزام القحطاني للمزادات العلنية والعالمية في السوق الموازية,1440/01/17    27/09/2018 15:43:47 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع ,1440/01/15    25/09/2018 15:52:49 
إعلان من هيئة السوق المالية بشأن طرح أسهم شركة مصنع الخليج للأعمال الحديدية للاكتتاب العام,1440/01/15    25/09/2018 09:08:54 
إيداع تعلن تطبيق إجراءات المصدر على أسهم الشركة المتحدة للإلكترونيات ,1440/01/15    25/09/2018 08:24:44 
إعلان إلحاقي من السوق المالية السعودية (تداول) بشأن اكتتاب وفترة تداول حقوق الأولوية لشركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني,1440/01/14    24/09/2018 21:24:25 
تمديد إجازة اليوم الوطني للسوق المالية السعودية (تداول),1440/01/13    23/09/2018 13:50:28 
إعلان إحالة اشتباه في مخالفة المادة التاسعة والأربعين من نظام السوق المالية والمادة الثانية من لائحة سلوكيات السوق، إلى النيابة العامة,1440/01/10    20/09/2018 15:47:32 
إجازة اليوم الوطني للـسوق المالية السعودية (تداول),1440/01/09    19/09/2018 15:22:00 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم الشركة المتحدة للإلكترونيات على اساس سعر 48.05 ريال,1440/01/09    19/09/2018 08:26:06 
إعلان من شركة السوق المالية السعودية (تداول) بشأن رفع تعليق تداول سهم شركة وفرة للصناعة والتنمية,1440/01/09    19/09/2018 08:15:46 
السوق المالية السعودية (تداول) تعلن عن تاريخ بدء مرحلة الاكتتاب و فترة تداول حقوق الأولوية لشركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني  ,1440/01/06    16/09/2018 16:08:23 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح وحدات ""صندوق ألفا للمرابحة"" طرحاً عاماً",1440/01/06    16/09/2018 15:48:10 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/01/06    16/09/2018 15:16:36 
إيداع تعلن إضافة حقوق الأولوية لشركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني,1440/01/03    13/09/2018 08:14:21 
إيداع تعلن تطبيق إجراءات المصدر على أسهم الشركة السعودية لصناعة الورق,1440/01/03    13/09/2018 08:10:49 
    فرض غرامة مالية على الشركة المتحدة للتأمين التعاوني ,1440/01/02    12/09/2018 15:55:25 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح صندوق الاستثمار العقاري المتداول ""صندوق معارف ريت"" طرحاً عاماً",1440/01/01    11/09/2018 09:51:02 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم الشركة السعودية لصناعة الورق على اساس سعر  12.76 ريال,1440/01/01    11/09/2018 08:47:46 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني على اساس سعر 13.82 ريال,1440/01/01    11/09/2018 08:23:10 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعليق تداول سهم الشركة الوطنية للبناء والتسويق,1440/01/01    11/09/2018 08:21:22 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1439/12/29    09/09/2018 16:08:52 
"إعلان من السوق المالية السعودية (تداول) بشأن إدراج ""شركة لجام للرياضة"" ",1439/12/26    06/09/2018 16:11:23 
موافقة الهيئة على طلب شركة بوبا العربية للتأمين التعاوني زيادة رأس مالها عن طريق منح أسهم مجانية,1439/12/25    05/09/2018 16:19:31 
إيداع تعلن إضافة أسهم الاكتتاب في شركة لجام للرياضة,1439/12/25    05/09/2018 08:43:03 
إيداع تعلن تطبيق إجراءات المصدر على أسهم شركة الكابلات السعودية,1439/12/25    05/09/2018 08:36:58 
تداول تعلن عن خططها لإطلاق سوق المشتقات المالية خلال النصف الأول من عام 2019,1439/12/24    04/09/2018 16:30:00 
إم إس سي آي (MSCI) وتداول تطلقان مؤشراً مشتركاً للسوق المالية السعودية للمستثمرين المحليين والأجانب,1439/12/24    04/09/2018 16:01:53 
تعلن السوق المالية السعودية عن نشر التقرير الشهري لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1439/12/23    03/09/2018 08:47:47 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة الكابلات السعودية على اساس سعر 25.55 ريال,1439/12/23    03/09/2018 08:12:28 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1439/12/22    02/09/2018 15:20:47 
 تقرير أداء السوق المالية السعودية – أغسطس 2018 م ,1439/12/22    02/09/2018 09:28:37 
إعلان من هيئة السوق المالية بشأن صدور قرار من لجنة الاستئناف في منازعات الأوراق المالية بإدانة مخالفين لنظام السوق المالية ولوائحه التنفيذية,1439/12/19    30/08/2018 17:50:08 
إعلان من هيئة السوق المالية بشأن صدور قرار من لجنة الاستئناف في منازعات الأوراق المالية بإدانة مخالفين لنظام السوق المالية ولوائحه التنفيذية,1439/12/19    30/08/2018 17:34:05 
إيداع تعلن تطبيق الزيادة في القيمة الاجمالية لإصدارات صكوك الحكومة السعودية بالريال,1439/12/19    30/08/2018 08:00:01 
إعلان بشأن الموافقة على إدراج أدوات الدين الحكومية من فئة سبق إدراجها في السوق المالية السعودية,1439/12/18    29/08/2018 17:24:41 
موافقة الهيئة على طلب شركة جرير للتسويق زيادة رأس مالها عن طريق منح أسهم مجانية,1439/12/18    29/08/2018 17:12:41 
إيداع تعلن تطبيق إجراءات المصدر على أسهم شركة الكثيري القابضة,1439/12/17    28/08/2018 07:51:59 
إعلان من شركة السوق المالية السعودية «تداول» بشأن خلل فني,1439/12/16    27/08/2018 15:22:40 
تعلن السوق المالية السعودية عن نشر التقرير الأسبوعي لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1439/12/15    26/08/2018 16:14:01 
